ID,Key,Name,Phone,URL,Street,City,State,Zip,Lat,Lng,Note,MonOpen,MonClose,TueOpen,TueClose,WedOpen,WedClose,ThuOpen,ThuClose,FriOpen,FriClose,SatOpen,SatClose,SunOpen,SunClose
1,NcOrangeWRCBradshawQuarry,Waste and Recycling Center Bradshaw Quarry Road,(919) 968-2788,http://www.co.orange.nc.us/1149/Waste-Recycling-Centers,6705 Bradshaw Quarry Road,Mebane,NC,27302,35.97841,-79.23308,,-1,-1,7,18,-1,-1,-1,-1,7,18,7,17,13,18
2,NcOrangeWRCEubanks,Waste and Recycling Center Eubanks Road,(919) 968-2788,http://www.co.orange.nc.us/1149/Waste-Recycling-Centers,1514 Eubanks Road,Chapel Hill,NC,27516,35.96964,-79.08072,,7,18,7,18,-1,-1,7,18,7,18,7,17,13,18
3,NcOrangeWRCFerguson,Waste and Recycling Center Ferguson Road,(919) 968-2788,http://www.co.orange.nc.us/1149/Waste-Recycling-Centers,1616 Ferguson Road,Chapel Hill,NC,27516,35.89795,-79.15606,,-1,-1,7,18,-1,-1,-1,-1,7,18,7,17,13,18
4,NcOrangeWRCHighRock,Waste and Recycling Center High Rock Road,(919) 968-2788,http://www.co.orange.nc.us/1149/Waste-Recycling-Centers,7001 High Rock Road,Efland,NC,27243,36.1367,-79.2305,,-1,-1,7,18,-1,-1,-1,-1,7,18,7,17,13,18
5,NcOrangeWRCWalnutGroveChurch,Waste and Recycling Center Walnut Grove Church Road,(919) 968-2788,http://www.co.orange.nc.us/1149/Waste-Recycling-Centers,3605 Walnut Grove Church Road,Hillsborough,NC,27278,36.14425,-79.12083,,7,18,7,18,-1,-1,7,18,7,18,7,17,13,18
6,NcOrange24DropOffCedarFalls,24-Hour Recycling Drop-off Site Cedar Falls Park,(919) 968-2788,http://www.co.orange.nc.us/1011/24-Hour-Recycling-Drop-off-Sites,401 Weaver Dairy Road,Chapel Hill,NC,27516,35.96016,-79.03174,One mile east of Martin Luther King Boulevard on Weaver Dairy Road,0,24,0,24,0,24,0,24,0,24,0,24,0,24
7,NcOrange24DropOffHamptonPointe,24-Hour Recycling Drop-off Site Hampton Pointe,(919) 968-2788,http://www.co.orange.nc.us/1011/24-Hour-Recycling-Drop-off-Sites,625 Hampton Point Blvd,Hillsborough,NC,27278,36.05467,-79.08167,"Behind Home Depot, Highway 86 in Hillsborough",0,24,0,24,0,24,0,24,0,24,0,24,0,24
8,NcOrange24DropOffMeadowmont,24-Hour Recycling Drop-off Site Meadowmont,(919) 968-2788,http://www.co.orange.nc.us/1011/24-Hour-Recycling-Drop-off-Sites,116 West Barbee Chapel Rd,Chapel Hill,NC,27517,35.90665,-79.01102,Behind Harris Teeter,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9,NcOrange24DropOffUniversityPlace,24-Hour Recycling Drop-off Site Estes/University Place,(919) 968-2788,http://www.co.orange.nc.us/1011/24-Hour-Recycling-Drop-off-Sites,201 Estes Dr,Chapel Hill,NC,27516,35.92169,-79.07292,"Parking lot, behind the gas station on Estes Drive (closing on May 31, 2022)",0,24,0,24,0,24,0,24,0,24,0,24,0,24
10,NcOrangeFoodWasteDropOffCarrboroFarmersMarket,Food Waste Drop-Off Site Carrboro Farmers Market,(919) 280-3326,http://www.carrborofarmersmarket.com/,301 W MAIN ST,CARRBORO,NC,27510,35.91116,-79.07732,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,12,-1,-1
