Category,Waste,Key
Plastic,#1 Plastic Bags,Plastic#1Bags
Plastic,#1 Plastic Beverage Bottles,Plastic#1BeverageBottles
Plastic,#1 Plastic Clamshells,Plastic#1Clamshells
Plastic,#1 Plastic Film,Plastic#1Film
Plastic,#1 Plastic Non-Beverage Bottles,Plastic#1NonBeverageBottles
Plastic,#1 Plastic Trays,Plastic#1Trays
Plastic,#1 Rigid Plastics,Plastic#1Rigids
Plastic,#2 Plastic Bags,Plastic#2Bags
Plastic,#2 Plastic Bottles,Plastic#2Bottles
Plastic,#2 Plastic Caps,Plastic#2Caps
Plastic,#2 Plastic Clamshells,Plastic#2Clamshells
Plastic,#2 Plastic Film,Plastic#2Film
Plastic,#2 Plastic Jugs - Clear,Plastic#2JugsClear
Plastic,#2 Plastic Jugs - Colored,Plastic#2JugsColored
Plastic,#2 Rigid Plastics,Plastic#2Rigids
Plastic,#3 Plastic Bags,Plastic#3Bags
Plastic,#3 Plastic Bottles,Plastic#3Bottles
Plastic,#3 Plastic Film,Plastic#3Film
Plastic,#3 Rigid Plastics,Plastic#3Rigids
Plastic,#4 Flexible Plastics,Plastic#4Flexibles
Plastic,#4 Plastic Bags,Plastic#4Bags
Plastic,#4 Plastic Bottles,Plastic#4Bottles
Plastic,#4 Plastic Film,Plastic#4Film
Plastic,#4 Rigid Plastics,Plastic#4Rigids
Plastic,#5 Plastic Bags,Plastic#5Bags
Plastic,#5 Plastic Bottles,Plastic#5Bottles
Plastic,#5 Plastic Caps,Plastic#5Caps
Plastic,#5 Plastic Clamshells,Plastic#5Clamshells
Plastic,#5 Plastic Cups,Plastic#5Cups
Plastic,#5 Plastic Film,Plastic#5Film
Plastic,#5 Rigid Plastics,Plastic#5Rigids
Plastic,#6 Plastic - Expanded,Plastic#6Expanded
Plastic,#6 Plastic Bags,Plastic#6Bags
Plastic,#6 Plastic Bottles,Plastic#6Bottles
Plastic,#6 Plastic Clamshells - Expanded,Plastic#6ClamshellsExpanded
Plastic,#6 Plastic Cups,Plastic#6Cups
Plastic,#6 Plastic Cups - Expanded,Plastic#6CupsExpanded
Plastic,#6 Plastic Film,Plastic#6Film
Plastic,#6 Plastic Peanuts,Plastic#6Peanuts
Plastic,#6 Rigid Plastics,Plastic#6Rigids
Plastic,#7 Plastic Bags,Plastic#7Bags
Plastic,#7 Plastic Bottles,Plastic#7Bottles
Plastic,#7 Plastic Film,Plastic#7Film
Plastic,#7 Rigid Plastics,Plastic#7Rigids
Hazardous,Acids,HazardAcids
Hazardous,Adhesives,HazardAdhesives
Household,Adult Toys,HouseAdultToys
Hazardous,Aerosol Cans - Full,HazardAerosolCansFull
Metals,Aerosol Cans - Full,MetalAerosolCansFull
Hazardous,Air Conditioners,HazardAirConditioners
Batteries,Alkaline Batteries,BatAlkaline
Metals,Aluminum Beverage Cans,MetalAluminumBeverageCans
Metals,Aluminum Foil,MetalAluminumFoil
Metals,Aluminum Food Cans,MetalAluminumFoodCans
Metals,Aluminum Pie Plates,MetalAluminumPiePlates
Metals,Aluminum Trays,MetalAluminumTrays
Hazardous,Ammunition,HazardAmmunition
Automotive,Antifreeze,AutoAntifreeze
Hazardous,Antifreeze,HazardAntifreeze
